IP Address,Timestamp,HTTP Method,Request Path,Status Code,Response Size,Referrer,User Agent,Request Length,Query Parameters Count,Is Secure,Time of Day,Day of Week,User-Agent Length,Referrer Length,Status Code Category,Request Frequency,Status Code Distribution,Request Size Distribution,User-Agent Diversity,Time Interval Between Requests,Path Frequency,Suspicious Patterns
172.18.28.9,2024-09-10T00:00:13+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3UpE.0&sid=zMku2RMOBMmRvuaUAAgn,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,00:00:13,Tuesday,111,20,2xx,1,"defaultdict(<class 'int'>, {'200': 1})",1.0,1,0:00:00,1,No
172.18.28.9,2024-09-10T00:00:14+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7O3a-e&sid=zMku2RMOBMmRvuaUAAgn,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,00:00:14,Tuesday,111,20,2xx,2,"defaultdict(<class 'int'>, {'200': 2})",1.5,1,0:00:01,1,No
172.18.28.9,2024-09-10T00:00:31+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3Z9u&sid=H3cbYbHc31FO7kVqAAqa,200,1,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",320,4,No,00:00:31,Tuesday,160,17,2xx,3,"defaultdict(<class 'int'>, {'200': 3})",1.3333333333333333,2,0:00:09,1,No
172.18.28.9,2024-09-10T00:00:31+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3ZA4&sid=QaKsu29cLNE7AO6tAAqZ,200,1,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",320,4,No,00:00:31,Tuesday,160,17,2xx,4,"defaultdict(<class 'int'>, {'200': 4})",1.25,2,0:00:06,1,No
172.18.28.9,2024-09-10T00:00:31+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3ZAE&sid=H7SpruWQdR57WKTyAAqb,200,1,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",320,4,No,00:00:31,Tuesday,160,17,2xx,5,"defaultdict(<class 'int'>, {'200': 5})",1.2,2,0:00:04.500000,1,No
172.18.28.9,2024-09-10T00:00:31+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7O3fHp&sid=QaKsu29cLNE7AO6tAAqZ,200,2,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",321,4,No,00:00:31,Tuesday,160,17,2xx,6,"defaultdict(<class 'int'>, {'200': 6})",1.3333333333333333,2,0:00:03.600000,1,No
172.18.28.9,2024-09-10T00:00:31+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7O3fHf&sid=H3cbYbHc31FO7kVqAAqa,200,2,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",321,4,No,00:00:31,Tuesday,160,17,2xx,7,"defaultdict(<class 'int'>, {'200': 7})",1.4285714285714286,2,0:00:03,1,No
172.18.28.9,2024-09-10T00:00:31+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7O3fHx&sid=H7SpruWQdR57WKTyAAqb,200,2,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",321,4,No,00:00:31,Tuesday,160,17,2xx,8,"defaultdict(<class 'int'>, {'200': 8})",1.5,2,0:00:02.571429,1,No
172.18.28.9,2024-09-10T00:00:39+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3a-e.0&sid=zMku2RMOBMmRvuaUAAgn,200,1,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",276,4,No,00:00:39,Tuesday,111,20,2xx,9,"defaultdict(<class 'int'>, {'200': 9})",1.4444444444444444,2,0:00:03.250000,1,No
172.18.28.9,2024-09-10T00:00:39+05:30,POST,/socket.io/?EIO=4&transport=polling&t=P7O3h9e&sid=zMku2RMOBMmRvuaUAAgn,200,2,https://ss.dmrc.org/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",275,4,No,00:00:39,Tuesday,111,20,2xx,10,"defaultdict(<class 'int'>, {'200': 10})",1.5,2,0:00:02.888889,1,No
172.18.28.9,2024-09-10T00:00:56+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3fHs&sid=QaKsu29cLNE7AO6tAAqZ,200,1,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",320,4,No,00:00:56,Tuesday,160,17,2xx,11,"defaultdict(<class 'int'>, {'200': 11})",1.4545454545454546,2,0:00:04.300000,1,No
172.18.28.9,2024-09-10T00:00:56+05:30,GET,/socket.io/?EIO=4&transport=polling&t=P7O3fHh&sid=H3cbYbHc31FO7kVqAAqa,200,1,http://localhost/,"Mozilla/5.0 (Linux; Android 9; SM-M307F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.210 Mobile Safari/537.36",320,4,No,00:00:56,Tuesday,160,17,2xx,12,"defaultdict(<class 'int'>, {'200': 12})",1.4166666666666667,2,0:00:03.909091,1,No
